IDMESA,CODI_MESA,COD_PROV,CODI_LOCAL,MUNICIPI,COMARCA,G35,CODI_MUNICIPI,DISTRICTE,SECCIO,SUBSECCIO,MESA,LLETRA_INICI,LLETRA_FI,CODI_LOCAL_ORIGEN,CODI_LOCAL,LOCAL_ELECTORAL_ADRECA,LOCAL_ELECTORAL,ADRECA,IDMESAMESESCOLA,NOSEQUEES
57,1706602003U,17,c1736,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,2,3,2,U,A,Z,,c1736,LOCAL SOCIAL DELS CENDRASSOS ; CARRE CENDRASSOS 36,LOCAL SOCIAL DELS CENDRASSOS,CARRE CENDRASSOS 36,57#1706602003U#LOCAL SOCIAL DELS CENDRASSOS ; CARRE CENDRASSOS 36,
58,1706603003A,17,c1737,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,3,3,,A,A,L,,c1737,CENTRE CIVIC CREU DE LA MA ; PLAÇA REMEI BOSCH SALAMO S/N,CENTRE CIVIC CREU DE LA MA,PLAÇA REMEI BOSCH SALAMO S/N,58#1706603003A#CENTRE CIVIC CREU DE LA MA ; PLAÇA REMEI BOSCH SALAMO S/N,
59,1706603003B,17,c1737,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,3,3,,B,M,Z,,c1737,CENTRE CIVIC CREU DE LA MA ; PLAÇA REMEI BOSCH SALAMO S/N,CENTRE CIVIC CREU DE LA MA,PLAÇA REMEI BOSCH SALAMO S/N,59#1706603003B#CENTRE CIVIC CREU DE LA MA ; PLAÇA REMEI BOSCH SALAMO S/N,
60,1706603004U,17,c1738,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,3,4,,U,A,Z,,c1738,CENTRE CIVIC DE LA MARCA DE L'HAM ; CARRE VILATENIM (VILATENIM) S/N,CENTRE CIVIC DE LA MARCA DE L'HAM,CARRE VILATENIM (VILATENIM) S/N,60#1706603004U#CENTRE CIVIC DE LA MARCA DE L'HAM ; CARRE VILATENIM (VILATENIM) S/N,
61,1706603005A,17,c1739,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,3,5,,A,A,L,,c1739,FUNDACIO CLERCH I NICOLAU ; CARRE NOU 53,FUNDACIO CLERCH I NICOLAU,CARRE NOU 53,61#1706603005A#FUNDACIO CLERCH I NICOLAU ; CARRE NOU 53,
62,1706603005B,17,c1739,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,3,5,,B,M,Z,,c1739,FUNDACIO CLERCH I NICOLAU ; CARRE NOU 53,FUNDACIO CLERCH I NICOLAU,CARRE NOU 53,62#1706603005B#FUNDACIO CLERCH I NICOLAU ; CARRE NOU 53,
63,1706604001U,17,c1740,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,4,1,,U,A,Z,,c1740,CEIP SANT PAU ; CARRE MUNTANER 4,CEIP SANT PAU,CARRE MUNTANER 4,63#1706604001U#CEIP SANT PAU ; CARRE MUNTANER 4,
64,1706604002A,17,c1741,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,4,2,,A,A,L,,c1741,INSTITUT RAMON MUNTANER ; CARRE SANT PAU 51,INSTITUT RAMON MUNTANER,CARRE SANT PAU 51,64#1706604002A#INSTITUT RAMON MUNTANER ; CARRE SANT PAU 51,
65,1706604002B,17,c1741,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,4,2,,B,M,Z,,c1741,INSTITUT RAMON MUNTANER ; CARRE SANT PAU 51,INSTITUT RAMON MUNTANER,CARRE SANT PAU 51,65#1706604002B#INSTITUT RAMON MUNTANER ; CARRE SANT PAU 51,
66,1706604003A,17,c1740,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,4,3,,A,A,L,,c1740,CEIP SANT PAU ; CARRE MUNTANER 4,CEIP SANT PAU,CARRE MUNTANER 4,66#1706604003A#CEIP SANT PAU ; CARRE MUNTANER 4,
67,1706604003B,17,c1740,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,4,3,,B,M,Z,,c1740,CEIP SANT PAU ; CARRE MUNTANER 4,CEIP SANT PAU,CARRE MUNTANER 4,67#1706604003B#CEIP SANT PAU ; CARRE MUNTANER 4,
68,1706604004A,17,c1737,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,4,4,,A,A,K,,c1737,CENTRE CIVIC CREU DE LA MA ; PLAÇA REMEI BOSCH SALAMO S/N,CENTRE CIVIC CREU DE LA MA,PLAÇA REMEI BOSCH SALAMO S/N,68#1706604004A#CENTRE CIVIC CREU DE LA MA ; PLAÇA REMEI BOSCH SALAMO S/N,
69,1706604004B,17,c1737,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,4,4,,B,L,Z,,c1737,CENTRE CIVIC CREU DE LA MA ; PLAÇA REMEI BOSCH SALAMO S/N,CENTRE CIVIC CREU DE LA MA,PLAÇA REMEI BOSCH SALAMO S/N,69#1706604004B#CENTRE CIVIC CREU DE LA MA ; PLAÇA REMEI BOSCH SALAMO S/N,
70,1706604005U,17,c1742,FIGUERES,ALT EMPORDA,ALTEMPORDA1G35,66,4,5,,U,A,Z,,c1742,COL·LEGI JOAQUIM CUSI I FORTUNET ; CARRE MET MIRAVITLLES 1,COL·LEGI JOAQUIM CUSI I FORTUNET,CARRE MET MIRAVITLLES 1,70#1706604005U#COL·LEGI JOAQUIM CUSI I FORTUNET ; CARRE MET MIRAVITLLES 1,
